ID;Genero;Casado;Edad;Graduado;Profesion;Experiencia laboral;Gastoscore;Family_Size;anno_nacimiento;Generación ;Ingresos anuales brutos;Provincia;Digital_encuenta_index;Gasto_medio_mensual_cuota;Abandono;Dias_cliente;camp_anno
CLI2;M;No;24;No;Funcionario;<10años;Bajo;4;2000;Millennial;13945;Málaga;1029;30;0;278;
CLI3;F;Si;42;Si;Ingeniero/Técnicos;+20años;Medio;3;1982;Millennial;118107;Salamanca;179;30;0;455;3
CLI4;F;Si;74;Si;Ingeniero/Técnicos;+20años;Bajo;1;1950;Baby Boomer;53533;Burgos;1326;50;0;380;1
CLI5;M;Si;74;Si;Servicios;+20años;Alto;2;1950;Baby Boomer;82273;Gerona;7786;50;1;387;3
CLI6;F;Si;44;Si;Otros;+20años;Alto;6;1980;Generación X;90776;Ávila;1767;30;1;299;
CLI7;M;Si;62;No;Artista;+20años;Medio;2;1962;Baby Boomer;54280;Orense;1150;30;0;278;
CLI8;M;No;35;Si;Funcionario;10-20años;Bajo;3;1989;Millennial;20885;Almería;916;30;0;234;
CLI9;F;No;36;Si;Funcionario;10-20años;Bajo;3;1988;Millennial;27840;Lérida;156;30;0;540;1
CLI10;F;Si;67;Si;Ingeniero/Técnicos;+20años;Bajo;3;1957;Baby Boomer;93442;Segovia;1385;80;1;195;
CLI11;F;Si;61;Si;Artista;+20años;Medio;4;1963;Baby Boomer;96524;Castellón;1385;80;0;483;3
CLI12;F;No;29;Si;Ingeniero/Técnicos;<10años;Bajo;3;1995;Millennial;20504;Ciudad Real;2720;30;0;446;3
CLI13;M;No;21;No;Funcionario;<10años;Bajo;4;2003;Millennial;20827;Zamora;2202;30;1;319;0,5
CLI14;F;No;21;No;Ejecutivo;<10años;Bajo;1;2003;Millennial;13798;Madrid;1374;30;0;96;
CLI15;M;Si;77;No;Servicios;+20años;Bajo;1;1947;Baby Boomer;45283;Soria;1228;30;0;437;3
CLI16;F;Si;64;No;Médico;+20años;Bajo;1;1960;Baby Boomer;124152;Ciudad Real;7786;120;0;375;3
CLI17;F;No;45;No;Funcionario;+20años;Bajo;2;1979;Generación X;46553;Gerona;801;30;0;409;3
CLI18;F;No;35;No;Construcción;10-20años;Bajo;5;1989;Millennial;30513;Zaragoza;1767;30;0;328;0,5
CLI19;M;No;34;No;Funcionario;10-20años;Bajo;6;1990;Millennial;31841;Jaén;1606;30;1;223;
CLI20;M;Si;64;Si;Otros;+20años;Medio;4;1960;Baby Boomer;67505;Almería;71995;80;0;118;
CLI21;F;Si;87;Si;Artista;+20años;Alto;1;1937;Baby Boomer;114299;León;75905;50;0;156;
CLI22;M;Si;54;Si;Construcción;+20años;Bajo;1;1970;Generación X;123974;Ceuta;6222;50;0;51;
CLI23;F;No;20;No;Funcionario;<10años;Bajo;4;2004;Millennial;21211;Toledo;2651;30;0;216;
CLI24;M;Si;36;Si;Artista;10-20años;Bajo;2;1988;Millennial;24060;Las Palmas;916;30;0;355;0,5
CLI25;F;No;40;Si;Artista;10-20años;Bajo;2;1984;Millennial;32294;Albacete;1077;30;1;135;
CLI26;F;;64;No;Ejecutivo;+20años;Medio;3;1960;Baby Boomer;62196;Vizcaya;876;30;0;223;
CLI27;M;Si;62;No;Artista;+20años;Medio;3;1962;Baby Boomer;126060;Ciudad Real;1737;200;1;295;
CLI28;M;No;34;No;Funcionario;10-20años;Bajo;8;1990;Millennial;18106;Huelva;1974;30;0;490;3
CLI29;M;Si;54;Si;Artista;+20años;Medio;3;1970;Generación X;32830;Ávila;71995;30;0;190;
CLI30;M;No;39;Si;Artista;10-20años;Bajo;1;1985;Millennial;29902;Guadalajara;1008;30;0;38;
CLI31;F;No;39;No;Artista;10-20años;Bajo;4;1985;Millennial;28830;Granada;1146;30;1;373;3
CLI32;F;Si;50;Si;Artista;+20años;Bajo;3;1974;Generación X;109666;La Rioja;1170;80;0;416;3
CLI33;F;Si;46;No;Médico;+20años;Bajo;2;1978;Generación X;58123;Alicante;71995;30;0;421;3
CLI34;M;No;21;No;Funcionario;<10años;Bajo;3;2003;Millennial;16852;Lérida;1512;30;1;168;
CLI35;M;No;29;No;Construcción;<10años;Bajo;1;1995;Millennial;28710;Álava;2823;30;0;219;
CLI36;F;Si;91;No;Servicios;+20años;Alto;2;1933;Baby Boomer;82612;León;1091;120;0;337;0,5
CLI37;F;No;30;Si;Funcionario;<10años;Bajo;4;1994;Millennial;21099;Badajoz;1261;30;0;152;
CLI38;M;No;35;No;Médico;10-20años;Bajo;1;1989;Millennial;21460;Zaragoza;1537;30;0;240;
CLI39;F;Si;31;No;Funcionario;<10años;Medio;5;1993;Millennial;23394;Alicante;1054;30;0;325;0,5
CLI40;F;Si;31;Si;Artista;<10años;Bajo;2;1993;Millennial;22565;Sevilla;87;30;0;520;4
CLI41;M;Si;62;Si;Artista;+20años;Medio;2;1962;Baby Boomer;49475;Burgos;1600;50;0;493;3
CLI42;F;No;52;Si;Artista;+20años;Bajo;1;1972;Generación X;63940;Salamanca;79815;50;0;33;
CLI43;F;No;24;No;Funcionario;<10años;Bajo;2;2000;Millennial;17510;Teruel;2996;30;1;337;0,5
CLI44;F;No;30;Si;Artista;<10años;Bajo;3;1994;Millennial;22608;Gerona;1261;30;0;40;
CLI45;F;Si;54;Si;Artista;+20años;Bajo;2;1970;Generación X;53294;Toledo;896;50;1;389;3
CLI46;M;Si;44;No;Ingeniero/Técnicos;+20años;Bajo;1;1980;Generación X;25196;Cáceres;1629;30;1;265;
CLI47;F;Si;87;No;Servicios;+20años;Alto;2;1937;Baby Boomer;48021;Zaragoza;1385;30;0;223;
CLI48;M;Si;45;Si;Artista;+20años;Medio;4;1979;Generación X;64917;Guadalajara;1698;30;1;187;
CLI49;F;No;32;Si;Funcionario;10-20años;Bajo;1;1992;Millennial;22818;Toledo;801;30;1;305;0,5
CLI50;M;No;21;No;Funcionario;<10años;Bajo;4;2003;Millennial;19656;Albacete;2306;30;0;249;
CLI51;F;No;50;Si;Ingeniero/Técnicos;+20años;Bajo;1;1974;Generación X;26612;La Rioja;1170;30;0;395;3
CLI52;F;Si;67;No;Artista;+20años;Medio;2;1957;Baby Boomer;107377;Alicante;1561;120;1;152;
CLI53;F;Si;40;Si;Artista;10-20años;Medio;2;1984;Millennial;83364;Ávila;156;50;0;337;0,5
CLI54;M;Si;44;Si;Artista;+20años;Bajo;1;1980;Generación X;59461;Ávila;179;50;1;330;0,5
