,Genero,Casado,Edad,Graduado,Profesion,Experiencia laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,Ingresos anuales brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Campanna_anno,Cluster
0,M,No,24,No,Funcionario,<10annos,Bajo,4,2000,Generacion Z,13945,Malaga,"1,029",30,0,278,0,0
1,F,Si,42,Si,Ingeniero,+20annos,Medio,3,1982,Millennials,118107,Salamanca,"1,79",30,0,455,3,3
2,F,Si,74,Si,Ingeniero,+20annos,Bajo,1,1950,Generacion X,53533,Burgos,"1,326",50,0,380,1,4
3,M,Si,74,Si,Servicios,+20annos,Alto,2,1950,Generacion X,82273,Gerona,"0,779",50,1,387,3,2
4,F,Si,44,Si,Otros,+20annos,Alto,6,1980,Generacion X,90776,Avila,"1,767",30,1,299,0,1
5,M,Si,62,No,Artista,+20annos,Medio,2,1962,Generacion X,54280,Orense,"1,15",30,0,278,0,4
6,M,No,35,Si,Funcionario,10-20annos,Bajo,3,1989,Millennials,20885,Almeria,"0,916",30,0,234,0,0
7,F,No,36,Si,Funcionario,10-20annos,Bajo,3,1988,Millennials,27840,LLeida,"1,56",30,0,540,1,0
8,F,Si,67,Si,Ingeniero,+20annos,Bajo,3,1957,Generacion X,93442,Segovia,"1,385",80,1,195,0,1
9,F,Si,61,Si,Artista,+20annos,Medio,4,1963,Generacion X,96524,Castellon,"1,385",80,0,483,3,1
10,F,No,29,Si,Ingeniero,<10annos,Bajo,3,1995,Millennials,20504,Ciudad Real,"2,72",30,0,446,3,0
11,M,No,21,No,Funcionario,<10annos,Bajo,4,2003,Generacion Z,20827,Zamora,"2,202",30,1,319,"0,5",0
12,F,No,21,No,Ejecutivo,<10annos,Bajo,1,2003,Generacion Z,13798,Madrid,"1,374",30,0,96,0,0
13,M,Si,77,No,Servicios,+20annos,Bajo,1,1947,Generacion X,45283,Soria,"1,228",30,0,437,3,4
14,F,Si,64,No,Medico,+20annos,Bajo,1,1960,Generacion X,124152,Ciudad Real,"0,779",120,0,375,3,3
15,F,No,45,No,Funcionario,+20annos,Bajo,2,1979,Generacion X,46553,Gerona,"0,801",30,0,409,3,4
16,F,No,35,No,Construccion,10-20annos,Bajo,5,1989,Millennials,30513,Zaragoza,"1,767",30,0,328,"0,5",0
17,M,No,34,No,Funcionario,10-20annos,Bajo,6,1990,Millennials,31841,Jaen,"1,606",30,1,223,0,0
18,M,Si,64,Si,Otros,+20annos,Medio,4,1960,Generacion X,67505,Almeria,"0,72",80,0,118,0,2
